"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"346.953K Weight"	"388.311K Weight"	"434.6K Weight"	"486.406K Weight"	"544.387K Weight"	"609.28K Weight"	"681.909K Weight"	"763.195K Weight"	"854.171K Weight"	"955.992K Weight"	"1069.95K Weight"	"1197.49K Weight"	"1340.24K Weight"	"1500K Weight"
500	310	63.8456	1	0	2	3	5	5	5	5	5	5	5	5	5	5	5	5
1000	434.6	43.4256	0.7133	0	1	4	4	7	6	7	7	7	7	7	7	7	7	7
1500	310	63.1413	1	0	2	4	5	7	8	8	9	9	8	9	9	9	9	9
2000	544.387	50.0679	0.569448	0	3	4	6	8	8	10	11	10	10	11	11	11	11	11
2500	609.28	59.0518	0.508797	0	2	3	5	6	7	9	9	9	10	11	11	11	11	11
3000	346.953	44.3088	0.893492	0	1	3	5	5	8	7	10	10	11	12	12	12	12	12
3500	854.171	44.9836	0.362925	0	2	5	6	6	9	9	11	12	12	13	13	14	14	14
4000	955.992	49.7632	0.324271	0	3	6	8	8	10	11	13	12	14	13	15	16	16	15
4500	388.311	69.9422	0.798328	0	4	4	7	9	11	12	13	13	14	14	15	16	17	16
5000	346.953	74.4423	0.893492	0	4	5	9	11	12	13	14	15	16	16	17	18	18	17
5500	486.406	70.5791	0.637328	0	4	5	10	12	13	15	16	17	17	18	19	20	20	19
6000	486.406	66.463	0.637328	0	4	5	7	11	12	14	15	17	17	17	18	20	19	19
6500	388.311	73.6793	0.798328	0	4	4	8	10	13	14	16	16	17	18	19	21	20	20
7000	1069.95	83.947	0.289733	0	1	3	7	10	13	14	15	15	17	17	17	21	20	20
7500	486.406	99.6724	0.637328	0	5	7	10	13	16	17	19	19	20	21	21	25	24	23
8000	346.953	97.0841	0.893492	0	3	8	10	13	16	17	20	20	21	22	22	25	24	24
8500	346.953	96.4571	0.893492	0	3	8	10	13	15	17	20	21	22	22	23	26	25	25
9000	310	107.484	1	0	3	7	11	14	16	17	19	21	23	23	24	26	25	26
9500	310	136.204	1	0	4	8	13	15	18	18	20	23	24	24	26	27	27	28
10000	310	159.547	1	0	6	11	14	17	21	20	23	25	27	27	28	30	30	31
10500	1069.95	67.8363	0.289733	0	7	11	15	18	21	21	24	25	27	27	27	30	31	31
11000	544.387	68.8946	0.569448	0	7	11	15	17	19	21	23	25	26	25	27	30	30	29
11500	346.953	99.4516	0.893492	0	6	11	15	16	19	21	22	24	25	25	27	27	29	28
12000	1500	81.51	0.206667	0	6	11	13	16	18	20	22	22	25	25	25	27	28	27
