"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"352.325K Weight"	"400.43K Weight"	"455.102K Weight"	"517.238K Weight"	"587.859K Weight"	"668.121K Weight"	"759.342K Weight"	"863.017K Weight"	"980.848K Weight"	"1114.77K Weight"	"1266.97K Weight"	"1439.95K Weight"	"1636.56K Weight"	"1860K Weight"
17500	1439.95	97.6678	0.215285	0	-2.53125	-4.5625	-6.60938	-8.46875	-10.25	-11.9531	-13.4688	-15	-16.2969	-17.4219	-18.625	-19.8125	-20.9062	-21.8438
18000	1266.97	75.7616	0.244678	0	-2.51562	-4.57812	-6.71875	-8.54688	-10.3594	-12.0469	-13.625	-15.0781	-16.4844	-17.5625	-18.7656	-19.8906	-21.0156	-21.8906
18500	1636.56	86.402	0.189422	0	-2.53125	-4.59375	-6.71875	-8.64062	-10.4375	-12.1875	-13.7812	-15.1875	-16.5781	-17.7969	-18.9531	-19.9688	-21.2188	-22.0469
19000	1439.95	113.882	0.215285	0	-2.54688	-4.625	-6.71875	-8.70312	-10.5	-12.3125	-13.8438	-15.3125	-16.75	-17.9062	-19.1562	-20.125	-21.5	-22.2031
19500	1114.77	80.281	0.278085	0	-2.5625	-4.65625	-6.76562	-8.75	-10.5625	-12.4062	-14	-15.4062	-16.8281	-18.0781	-19.2812	-20.2812	-21.5938	-22.3594
20000	455.102	58.8151	0.681167	0	-2.54688	-4.67969	-6.86719	-8.85938	-10.6641	-12.4922	-14.1094	-15.5469	-16.9219	-18.1484	-19.3281	-20.3516	-21.6406	-22.4062
20500	1266.97	136.311	0.244678	0	-2.53906	-4.69531	-6.92188	-8.89844	-10.7031	-12.6016	-14.1328	-15.6016	-16.9375	-18.2109	-19.4062	-20.4375	-21.6875	-22.4531
21000	759.342	70.8205	0.408248	0	-2.53906	-4.71875	-6.92188	-8.95312	-10.7422	-12.625	-14.1719	-15.6484	-16.9844	-18.2891	-19.4844	-20.5781	-21.7891	-22.5625
21500	1636.56	121.433	0.189422	0	-2.53906	-4.73438	-6.92969	-8.95312	-10.7422	-12.6406	-14.1875	-15.7188	-17.0391	-18.3594	-19.5781	-20.6875	-21.9609	-22.7188
22000	863.017	98.3066	0.359205	0	-2.53125	-4.72656	-6.94531	-8.95312	-10.7578	-12.6406	-14.1953	-15.7266	-17.0938	-18.4297	-19.6719	-20.7891	-22.0781	-22.9141
22500	863.017	121.862	0.359205	0	-2.53125	-4.72656	-6.95312	-8.98438	-10.7969	-12.6719	-14.2578	-15.7891	-17.1484	-18.4688	-19.7812	-20.8984	-22.2188	-23.0078
23000	455.102	55.6133	0.681167	0	-2.52344	-4.76562	-6.99219	-9.03125	-10.8281	-12.6953	-14.3281	-15.8125	-17.1797	-18.5078	-19.8281	-20.9609	-22.3125	-23.1328
23500	587.859	49.3645	0.527338	0	-2.46094	-4.57812	-6.79688	-8.83594	-10.6172	-12.457	-14.0898	-15.5859	-16.9453	-18.2656	-19.5898	-20.7148	-22.0664	-22.8867
24000	400.43	53.8791	0.774169	0	-2.45312	-4.55078	-6.76953	-8.75781	-10.5469	-12.3672	-13.9961	-15.4883	-16.8516	-18.168	-19.4922	-20.6172	-21.9688	-22.7891
24500	668.121	56.8745	0.463988	0	-2.44531	-4.52734	-6.72656	-8.67969	-10.4844	-12.3125	-13.9219	-15.4062	-16.793	-18.0859	-19.4102	-20.5352	-21.8828	-22.707
25000	352.325	41.081	0.879868	0	-2.42969	-4.53906	-6.72656	-8.66797	-10.4609	-12.3008	-13.9062	-15.375	-16.7773	-18.0703	-19.3906	-20.5	-21.8477	-22.6719
25500	980.848	60.7755	0.316053	0	-2.42188	-4.53906	-6.71094	-8.67969	-10.4727	-12.2695	-13.8828	-15.3516	-16.7422	-18.0391	-19.3516	-20.4609	-21.8008	-22.6289
26000	455.102	51.9489	0.681167	0	-2.38281	-4.49609	-6.67969	-8.63281	-10.4375	-12.2188	-13.8203	-15.2891	-16.6836	-17.9688	-19.2852	-20.3906	-21.7305	-22.5547
26500	517.238	49.8893	0.599337	0	-2.39844	-4.48828	-6.68359	-8.62109	-10.418	-12.1914	-13.7891	-15.2656	-16.6523	-17.9258	-19.2344	-20.3477	-21.6797	-22.5039
27000	759.342	67.8764	0.408248	0	-2.41797	-4.51562	-6.72266	-8.63281	-10.4297	-12.1992	-13.793	-15.25	-16.6484	-17.9023	-19.2109	-20.3242	-21.6523	-22.4805
27500	668.121	49.7042	0.463988	0	-2.39453	-4.51172	-6.70312	-8.63672	-10.418	-12.1875	-13.793	-15.2383	-16.6211	-17.8906	-19.1836	-20.293	-21.6172	-22.4375
28000	400.43	56.1892	0.774169	0	-2.39844	-4.54688	-6.69531	-8.59766	-10.3672	-12.1211	-13.7305	-15.1758	-16.5547	-17.8203	-19.1172	-20.2227	-21.5469	-22.3672
28500	1860	72.8528	0.166667	0	-2.38281	-4.54688	-6.69141	-8.57812	-10.3633	-12.1055	-13.7344	-15.1602	-16.5352	-17.7969	-19.0859	-20.1914	-21.5039	-22.332
29000	352.325	50.4392	0.879868	0	-2.38281	-4.58203	-6.69141	-8.58203	-10.3594	-12.0664	-13.7109	-15.125	-16.5	-17.7617	-19.0469	-20.1445	-21.457	-22.2852
29500	517.238	72.3536	0.599337	0	-2.37109	-4.5625	-6.67969	-8.58203	-10.3281	-12.0195	-13.6719	-15.0664	-16.4375	-17.6992	-18.9844	-20.0781	-21.3906	-22.2188
30000	310	47.7327	1	0	-2.37891	-4.57422	-6.69531	-8.60938	-10.3398	-12.0078	-13.6875	-15.0625	-16.4336	-17.6992	-18.9805	-20.0664	-21.3867	-22.207
30500	1114.77	80.1147	0.278085	0	-2.38672	-4.57812	-6.72266	-8.60938	-10.3438	-12.0195	-13.6953	-15.0898	-16.4219	-17.6953	-18.9727	-20.0625	-21.3711	-22.1992
31000	352.325	50.1671	0.879868	0	-2.36328	-4.5625	-6.69531	-8.58594	-10.2969	-11.9766	-13.6406	-15.0312	-16.3594	-17.6406	-18.9141	-19.9922	-21.3125	-22.1328
31500	517.238	53.3144	0.599337	0	-2.37109	-4.55078	-6.67578	-8.55078	-10.3047	-11.9531	-13.6172	-14.9961	-16.3203	-17.5859	-18.8672	-19.9414	-21.2617	-22.0781
32000	980.848	51.734	0.316053	0	-2.36719	-4.52344	-6.69141	-8.53125	-10.2852	-11.9219	-13.5781	-14.9414	-16.2812	-17.5352	-18.8164	-19.8867	-21.207	-22.0195
32500	863.017	61.728	0.359205	0	-2.37109	-4.54297	-6.69141	-8.54688	-10.2617	-11.9062	-13.5508	-14.9219	-16.2422	-17.4922	-18.7695	-19.8438	-21.1602	-21.9727
33000	310	46.9427	1	0	-2.34766	-4.51562	-6.67578	-8.47656	-10.2188	-11.8594	-13.4844	-14.8477	-16.1641	-17.418	-18.6914	-19.7617	-21.0781	-21.8945
33500	1636.56	101.887	0.189422	0	-2.33984	-4.51953	-6.67969	-8.49219	-10.2148	-11.8828	-13.4805	-14.8516	-16.1641	-17.4141	-18.6836	-19.7539	-21.0547	-21.8828
34000	455.102	43.9845	0.681167	0	-2.35547	-4.53516	-6.69922	-8.51953	-10.2422	-11.8984	-13.4844	-14.8672	-16.1953	-17.4375	-18.7109	-19.7812	-21.0508	-21.9102
34500	310	47.6661	1	0	-2.36328	-4.52734	-6.66797	-8.49219	-10.2227	-11.8555	-13.4492	-14.8242	-16.1445	-17.3828	-18.6484	-19.7227	-20.9922	-21.8477
35000	668.121	60.3132	0.463988	0	-2.34766	-4.51562	-6.64844	-8.47656	-10.207	-11.8242	-13.4492	-14.7891	-16.1055	-17.3398	-18.6055	-19.6719	-20.9375	-21.793
35500	455.102	63.3181	0.681167	0	-2.32812	-4.5	-6.62891	-8.45703	-10.1562	-11.7891	-13.4102	-14.7344	-16.0508	-17.2812	-18.5469	-19.6172	-20.875	-21.7305
36000	352.325	47.4155	0.879868	0	-2.35156	-4.5	-6.64453	-8.44531	-10.168	-11.7617	-13.3711	-14.6875	-16.0195	-17.2422	-18.5078	-19.5781	-20.8281	-21.6875
