#"Steps"	"Temperature (K)"	"310K Weight"	"330.194K Weight"	"351.703K Weight"	"374.613K Weight"	"399.016K Weight"	"425.008K Weight"	"452.694K Weight"	"482.183K Weight"	"513.592K Weight"	"547.048K Weight"	"582.684K Weight"	"620.64K Weight"	"661.069K Weight"	"704.132K Weight"	"750K Weight"
500	513.592	43.9898	0	1	4	5	5	6	6	8	8	8	12	11	11	12	13
1000	374.613	115.999	0	4	5	7	10	11	10	13	14	15	16	16	17	18	19
1500	399.016	68.5631	0	3	5	7	7	10	11	13	14	14	15	16	16	16	18
2000	661.069	60.2813	0	1	4	5	7	9	8	10	10	13	13	14	15	15	16
2500	513.592	57.4714	0	3	5	6	7.5	10	10	12	12	13.5	14	14	14.5	16.5	17.5
3000	582.684	54.0479	0	1.5	3.5	5.5	5.5	7	8	9.5	10.5	11.5	11.5	12.5	12.5	14.5	14.5
3500	513.592	75.7228	0	1	3.5	5	6	7	9.5	11	10.5	12	13	13.5	14.5	15.5	16
4000	452.694	72.7699	0	2.25	4.25	6.5	8	9.25	10.75	12	12.75	13.5	15.5	16	17.25	16.25	17.75
4500	399.016	66.1139	0	2.25	3.5	6	6.75	7.75	9.75	10.75	11.5	12.75	13.5	14.25	14.75	15.25	15.75
5000	661.069	47.3121	0	1.75	4	5.75	7.75	8.25	10.25	10.75	12.5	12.5	12.5	14	14.75	15	16
5500	425.008	58.7944	0	3	5	7	8.75	9.25	11	11.5	13.75	13.75	14.25	15	15.75	16.25	17.75
6000	425.008	80.1467	0	3	5.125	6.75	8.75	10.25	11.25	11.875	13.375	14.25	15.375	15.5	16.5	17.125	18.375
6500	399.016	101.437	0	2.5	4.25	6.375	8	9.25	10.625	12.125	13.25	13.75	14.75	15.125	16	16.875	17.75
7000	374.613	58.2211	0	2.5	4.625	6.375	7.875	9.5	10.75	11.375	12.625	13.375	14.25	14.625	15.375	16	16.375
7500	513.592	69.5855	0	2.25	4.25	5.875	7.125	8.75	9.875	10.375	11.5	12.5	13	13.625	14.75	15.125	16
8000	399.016	77.4813	0	2.375	3.875	6.125	7.25	8.5	9.625	10.625	11	12.25	13.125	13.375	14.875	15.125	15.625
8500	620.64	60.6233	0	1.75	3.375	5.625	6.8125	8.3125	9.5	10.4375	11.3125	12.125	13.3125	13.5	14.9375	15.125	15.5
9000	482.183	80.1184	0	2.125	3.875	6	7.4375	8.6875	10.0625	11.0625	12.0625	12.75	14.0625	14.3125	15.6875	15.8125	16.4375
9500	452.694	68.0813	0	2.4375	4.1875	6.125	7.5625	9.125	10.25	11.25	12.5625	13.125	14.4375	14.875	15.875	16.375	17.1875
10000	452.694	71.7939	0	2.375	4.5	6	7.8125	8.8125	10.125	11.4375	12.625	13.375	14.5625	15.0625	16.0625	16.5	17.375
10500	620.64	65.0134	0	2.5	4.5	6.1875	8.0625	9	10.25	11.4375	12.625	13.4375	14.8125	14.9375	16.0625	16.5	17.5625
11000	425.008	72.4265	0	2.4375	4.40625	6.21875	7.96875	9.03125	10.4375	11.5938	12.5	13.4062	14.75	14.875	15.9062	16.5	17.4062
11500	750	76.3725	0	2.46875	4.28125	6.09375	7.78125	9	10.3125	11.5312	12.375	13.4062	14.5	14.8125	15.5625	16.4062	17.1875
12000	582.684	78.0153	0	2.375	4.4375	6.21875	8.0625	9.28125	10.5312	11.6562	12.4375	13.625	14.625	15.0312	15.8438	16.6562	17.4375
12500	399.016	65.5778	0	2.34375	4.4375	6.375	7.84375	9.3125	10.5625	11.75	12.5938	13.7812	14.7812	15.0938	16.0625	16.8125	17.5625
13000	425.008	70.6425	0	2.29688	4.40625	6.25	7.6875	9.125	10.4062	11.4688	12.3594	13.5156	14.625	14.9062	16	16.5	17.4219
13500	374.613	86.2225	0	2.25	4.42188	6.20312	7.625	9.15625	10.4219	11.4844	12.3594	13.5312	14.6094	14.9062	15.9219	16.4844	17.4375
14000	374.613	66.2306	0	2.26562	4.375	6.03125	7.51562	9.14062	10.375	11.375	12.3594	13.5156	14.5781	14.8906	15.9219	16.4531	17.3906
14500	547.048	57.5964	0	2.35938	4.4375	6.125	7.60938	9.23438	10.4062	11.4844	12.375	13.4844	14.5938	14.9219	15.9375	16.5312	17.4688
15000	620.64	63.9408	0	2.39062	4.42188	6.1875	7.66406	9.29688	10.4922	11.5547	12.4609	13.5625	14.6484	15.0156	16.0938	16.6719	17.5938
15500	513.592	77.5631	0	2.375	4.4375	6.17969	7.64844	9.27344	10.4766	11.5625	12.4688	13.5781	14.6172	15.0234	16.0703	16.6719	17.5938
16000	661.069	51.91	0	2.36719	4.42188	6.15625	7.58594	9.26562	10.4531	11.5234	12.4531	13.5156	14.5547	14.9297	15.9922	16.5781	17.5156
16500	513.592	58.4287	0	2.38281	4.42969	6.14062	7.55469	9.25781	10.4375	11.5	12.4062	13.5	14.5	14.8516	15.9609	16.5703	17.3906
17000	513.592	57.6801	0	2.36719	4.39062	6.11719	7.51562	9.21094	10.3594	11.4688	12.3438	13.4219	14.4375	14.7891	15.8906	16.5	17.2891
17500	399.016	68.2046	0	2.38672	4.40234	6.09766	7.48047	9.21484	10.3828	11.5	12.3594	13.4336	14.4336	14.8242	15.9219	16.5234	17.3164
18000	425.008	82.9551	0	2.38281	4.39844	6.12109	7.48438	9.21875	10.3789	11.5117	12.3555	13.4609	14.4336	14.8555	15.9492	16.5547	17.3086
18500	374.613	90.8926	0	2.38672	4.38281	6.11719	7.48438	9.21875	10.3672	11.5	12.3516	13.4688	14.4219	14.8398	15.9453	16.543	17.2891
19000	452.694	62.7406	0	2.39844	4.38672	6.10938	7.49219	9.21875	10.3477	11.5039	12.3477	13.4766	14.4219	14.8555	15.9414	16.5312	17.3047
19500	704.132	67.0775	0	2.375	4.38672	6.10547	7.48828	9.19922	10.3359	11.4805	12.3242	13.457	14.3906	14.832	15.9297	16.5039	17.2539
20000	513.592	70.5184	0	2.36133	4.38867	6.08203	7.47852	9.19336	10.3242	11.4746	12.3125	13.4492	14.3887	14.834	15.9219	16.5059	17.2461
20500	351.703	77.2376	0	2.34961	4.37891	6.07812	7.47266	9.18359	10.3086	11.4688	12.3125	13.4395	14.3789	14.8262	15.9199	16.4961	17.2402
21000	399.016	79.1472	0	2.3418	4.37695	6.07617	7.4707	9.18164	10.3047	11.4785	12.3262	13.4434	14.3828	14.834	15.9277	16.5039	17.2441
