"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"347.828K Weight"	"390.272K Weight"	"437.895K Weight"	"491.33K Weight"	"551.284K Weight"	"618.555K Weight"	"694.035K Weight"	"778.725K Weight"	"873.75K Weight"	"980.37K Weight"	"1100K Weight"
639000	390.272	75.0132	0.794318	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
639500	437.895	70.7984	0.707932	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
640000	873.75	75.9724	0.354793	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
640500	1100	57.1131	0.281818	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
641000	873.75	80.7741	0.354793	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
641500	437.895	87.9494	0.707932	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
642000	1100	50.4667	0.281818	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
642500	873.75	39.8644	0.354793	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
643000	778.725	50.2692	0.398087	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
643500	873.75	57.9622	0.354793	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
644000	491.33	76.6283	0.630941	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
644500	980.37	80.7748	0.316207	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
645000	491.33	107.033	0.630941	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
645500	778.725	47.0462	0.398087	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
646000	873.75	61.5019	0.354793	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
646500	347.828	83.5679	0.891245	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
647000	618.555	68.119	0.501168	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
647500	980.37	48.5471	0.316207	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
648000	310	113.588	1	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
648500	694.035	79.2867	0.446663	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
649000	437.895	97.9432	0.707932	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
649500	873.75	86.2983	0.354793	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
650000	694.035	69.462	0.446663	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
650500	618.555	82.1116	0.501168	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
651000	390.272	80.894	0.794318	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
651500	390.272	78.3498	0.794318	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
652000	980.37	64.8225	0.316207	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
652500	437.895	109.217	0.707932	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
653000	694.035	89.2234	0.446663	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
653500	437.895	113.86	0.707932	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
654000	390.272	107.516	0.794318	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
654500	551.284	69.989	0.562323	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
655000	310	146.557	1	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
655500	390.272	86.5381	0.794318	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
656000	310	137.192	1	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
656500	980.37	48.5546	0.316207	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
657000	618.555	85.8049	0.501168	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
657500	347.828	138.3	0.891245	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
658000	390.272	83.4236	0.794318	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
658500	778.725	78.1872	0.398087	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
659000	437.895	74.7293	0.707932	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
659500	694.035	66.237	0.446663	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
660000	694.035	83.4974	0.446663	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
660500	551.284	84.3209	0.562323	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
661000	980.37	50.5878	0.316207	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
661500	491.33	61.1675	0.630941	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
662000	491.33	54.3145	0.630941	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
662500	778.725	62.1653	0.398087	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
663000	873.75	67.8797	0.354793	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
663500	618.555	69.4503	0.501168	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
664000	694.035	75.0936	0.446663	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
664500	694.035	66.2345	0.446663	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
665000	778.725	48.8326	0.398087	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
665500	694.035	71.2771	0.446663	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
666000	873.75	70.4311	0.354793	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
666500	491.33	67.7437	0.630941	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
667000	437.895	66.2768	0.707932	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
667500	437.895	75.0813	0.707932	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
668000	1100	68.2875	0.281818	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
668500	1100	84.5089	0.281818	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
669000	437.895	81.0297	0.707932	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
669500	694.035	60.7451	0.446663	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
670000	347.828	116.483	0.891245	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
670500	980.37	57.2851	0.316207	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
671000	347.828	109.081	0.891245	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
671500	1100	57.213	0.281818	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
672000	873.75	79.2896	0.354793	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
672500	694.035	66.6995	0.446663	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
673000	778.725	71.0257	0.398087	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
673500	310	150.63	1	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
674000	347.828	139.334	0.891245	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
674500	1100	56.863	0.281818	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
675000	778.725	73.2534	0.398087	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
675500	491.33	88.9386	0.630941	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
676000	551.284	81.5779	0.562323	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
676500	491.33	123.223	0.630941	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
677000	694.035	80.8063	0.446663	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
677500	347.828	148.194	0.891245	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
678000	310	118.057	1	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
678500	491.33	85.1974	0.630941	0	4.8554	8.7836	11.8807	14.1398	16.3842	18.1586	19.6169	20.7892	22.0478	22.9224	23.736
