"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"325.179K Weight"	"341.101K Weight"	"357.803K Weight"	"375.323K Weight"	"393.7K Weight"	"412.978K Weight"	"433.199K Weight"	"454.41K Weight"	"476.661K Weight"	"500K Weight"
2400000	375.323	1221.06	0.825956	0	-17.2598	-34.4111	-51.8838	-69.7461	-87.6455	-105.906	-124.248	-143.126	-162.068	-181.235
2450000	310	938.569	1	0	-17.2588	-34.4082	-51.8857	-69.7549	-87.665	-105.915	-124.257	-143.129	-162.073	-181.238
2500000	393.7	1251.99	0.787401	0	-17.2588	-34.4043	-51.8809	-69.748	-87.6592	-105.909	-124.261	-143.128	-162.071	-181.233
2550000	393.7	1246.41	0.787401	0	-17.2598	-34.4053	-51.8896	-69.7578	-87.6699	-105.934	-124.276	-143.139	-162.076	-181.244
2600000	357.803	1111.11	0.866398	0	-17.2549	-34.4014	-51.8945	-69.7539	-87.667	-105.938	-124.282	-143.146	-162.085	-181.262
2650000	476.661	1637.77	0.650358	0	-17.2549	-34.4014	-51.8945	-69.7568	-87.6787	-105.954	-124.298	-143.158	-162.095	-181.291
2700000	433.199	1456.35	0.715606	0	-17.2549	-34.4014	-51.8945	-69.7568	-87.6787	-105.955	-124.305	-143.174	-162.129	-181.331
2750000	310	911.682	1	0	-17.2539	-34.4111	-51.9014	-69.7622	-87.6743	-105.953	-124.299	-143.174	-162.136	-181.334
2800000	393.7	1257.1	0.787401	0	-17.2515	-34.415	-51.9048	-69.7612	-87.6743	-105.95	-124.296	-143.171	-162.132	-181.329
2850000	412.978	1311.88	0.750646	0	-17.2515	-34.4199	-51.9092	-69.7676	-87.6807	-105.957	-124.302	-143.175	-162.137	-181.333
2900000	325.179	985.557	0.953321	0	-17.25	-34.415	-51.9062	-69.7646	-87.6782	-105.958	-124.306	-143.178	-162.139	-181.334
2950000	375.323	1154.9	0.825956	0	-17.25	-34.4146	-51.9038	-69.7651	-87.6768	-105.957	-124.306	-143.175	-162.136	-181.33
3000000	325.179	917.986	0.953321	0	-17.25	-34.4116	-51.9006	-69.762	-87.6724	-105.953	-124.302	-143.171	-162.131	-181.325
3050000	476.661	1558.32	0.650358	0	-17.248	-34.4109	-51.8989	-69.7595	-87.6721	-105.951	-124.3	-143.169	-162.129	-181.323
3100000	454.41	1507.89	0.682203	0	-17.248	-34.4109	-51.8994	-69.7605	-87.6768	-105.957	-124.306	-143.172	-162.131	-181.325
3150000	476.661	1577.23	0.650358	0	-17.248	-34.4109	-51.8994	-69.7605	-87.6775	-105.959	-124.311	-143.175	-162.134	-181.328
3200000	454.41	1496.36	0.682203	0	-17.2482	-34.4119	-51.9001	-69.7616	-87.6791	-105.96	-124.312	-143.176	-162.137	-181.33
3250000	454.41	1555.46	0.682203	0	-17.2483	-34.4122	-51.9012	-69.7621	-87.6794	-105.961	-124.312	-143.178	-162.14	-181.334
3300000	500	1726.67	0.62	0	-17.2485	-34.4127	-51.9014	-69.7621	-87.6793	-105.961	-124.312	-143.178	-162.141	-181.337
3350000	454.41	1479.36	0.682203	0	-17.2485	-34.4127	-51.9014	-69.7621	-87.6794	-105.961	-124.313	-143.18	-162.145	-181.341
3400000	341.101	1006.76	0.908821	0	-17.2482	-34.4144	-51.9006	-69.7616	-87.6788	-105.961	-124.312	-143.179	-162.144	-181.342
3450000	375.323	1121.47	0.825956	0	-17.2479	-34.4146	-51.9007	-69.7607	-87.678	-105.96	-124.311	-143.178	-162.143	-181.34
3500000	325.179	971.638	0.953321	0	-17.2482	-34.4144	-51.9001	-69.7597	-87.6769	-105.959	-124.31	-143.177	-162.142	-181.339
3550000	375.323	1155.96	0.825956	0	-17.2475	-34.4134	-51.8991	-69.7585	-87.6758	-105.958	-124.308	-143.175	-162.14	-181.337
3600000	454.41	1450.47	0.682203	0	-17.2472	-34.4122	-51.8975	-69.7569	-87.674	-105.956	-124.306	-143.173	-162.138	-181.335
3650000	310	905.044	1	0	-17.2469	-34.4123	-51.8986	-69.7574	-87.6741	-105.956	-124.306	-143.173	-162.138	-181.335
3700000	357.803	1050.95	0.866398	0	-17.2466	-34.4114	-51.8973	-69.7553	-87.6721	-105.954	-124.304	-143.171	-162.136	-181.333
3750000	341.101	1000.79	0.908821	0	-17.2462	-34.4114	-51.8969	-69.7542	-87.6707	-105.953	-124.302	-143.169	-162.134	-181.331
3800000	325.179	990.699	0.953321	0	-17.2463	-34.4113	-51.8965	-69.7528	-87.6695	-105.951	-124.301	-143.168	-162.133	-181.33
3850000	341.101	1007.12	0.908821	0	-17.2449	-34.4094	-51.8944	-69.7504	-87.6671	-105.949	-124.298	-143.165	-162.13	-181.327
3900000	500	1623.5	0.62	0	-17.245	-34.4095	-51.8949	-69.7505	-87.6667	-105.948	-124.298	-143.165	-162.129	-181.326
3950000	454.41	1465.98	0.682203	0	-17.245	-34.4095	-51.8949	-69.7505	-87.6668	-105.949	-124.298	-143.166	-162.132	-181.327
4000000	375.323	1096.22	0.825956	0	-17.2453	-34.4097	-51.8952	-69.7505	-87.6668	-105.949	-124.298	-143.166	-162.132	-181.327
4050000	357.803	1107.65	0.866398	0	-17.2452	-34.41	-51.8951	-69.7502	-87.6663	-105.948	-124.297	-143.165	-162.131	-181.327
4100000	476.661	1554.74	0.650358	0	-17.245	-34.4096	-51.895	-69.7496	-87.6655	-105.947	-124.297	-143.164	-162.13	-181.326
4150000	412.978	1307.31	0.750646	0	-17.245	-34.4096	-51.8951	-69.7498	-87.6658	-105.947	-124.297	-143.165	-162.131	-181.326
4200000	341.101	1037.78	0.908821	0	-17.2447	-34.409	-51.8945	-69.7491	-87.6651	-105.947	-124.296	-143.164	-162.13	-181.326
4250000	341.101	1020.72	0.908821	0	-17.2447	-34.4088	-51.8941	-69.7486	-87.6647	-105.946	-124.296	-143.163	-162.13	-181.325
4300000	433.199	1433.84	0.715606	0	-17.2442	-34.4083	-51.8935	-69.7479	-87.664	-105.946	-124.295	-143.163	-162.129	-181.325
4350000	454.41	1522.46	0.682203	0	-17.2442	-34.4083	-51.8935	-69.748	-87.664	-105.946	-124.296	-143.163	-162.129	-181.325
4400000	325.179	987.652	0.953321	0	-17.2443	-34.4084	-51.8936	-69.748	-87.6642	-105.946	-124.296	-143.163	-162.129	-181.325
4450000	454.41	1524.12	0.682203	0	-17.2443	-34.4083	-51.8934	-69.7477	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
4500000	500	1643.49	0.62	0	-17.2443	-34.4083	-51.8934	-69.7477	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
4550000	500	1714.6	0.62	0	-17.2443	-34.4083	-51.8935	-69.7478	-87.6639	-105.946	-124.296	-143.163	-162.129	-181.325
4600000	325.179	968.822	0.953321	0	-17.2442	-34.4082	-51.8934	-69.7477	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
4650000	325.179	1003.36	0.953321	0	-17.2442	-34.4082	-51.8934	-69.7476	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
