"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"325.179K Weight"	"341.101K Weight"	"357.803K Weight"	"375.323K Weight"	"393.7K Weight"	"412.978K Weight"	"433.199K Weight"	"454.41K Weight"	"476.661K Weight"	"500K Weight"
20200000	310	896.759	1	0	-16.9804	-34.2305	-51.5659	-69.2089	-87.1558	-105.461	-124.025	-142.83	-161.926	-181.094
20250000	325.179	912.248	0.953321	0	-16.9804	-34.2305	-51.5659	-69.2088	-87.1557	-105.461	-124.025	-142.83	-161.926	-181.094
20300000	325.179	988.472	0.953321	0	-16.9804	-34.2305	-51.5658	-69.2088	-87.1557	-105.461	-124.025	-142.83	-161.926	-181.094
20350000	341.101	992.753	0.908821	0	-16.9804	-34.2304	-51.5658	-69.2087	-87.1556	-105.461	-124.025	-142.83	-161.926	-181.094
20400000	310	921.261	1	0	-16.9804	-34.2304	-51.5657	-69.2086	-87.1555	-105.461	-124.025	-142.83	-161.926	-181.094
20450000	433.199	1449.69	0.715606	0	-16.9803	-34.2303	-51.5657	-69.2086	-87.1555	-105.461	-124.025	-142.83	-161.926	-181.094
20500000	412.978	1357.53	0.750646	0	-16.9803	-34.2303	-51.5657	-69.2086	-87.1555	-105.461	-124.025	-142.83	-161.926	-181.094
20550000	310	939.385	1	0	-16.9804	-34.2303	-51.5657	-69.2086	-87.1555	-105.461	-124.025	-142.83	-161.926	-181.094
20600000	357.803	1068.83	0.866398	0	-16.9804	-34.2303	-51.5656	-69.2086	-87.1554	-105.461	-124.024	-142.83	-161.926	-181.094
20650000	310	905.577	1	0	-16.9803	-34.2302	-51.5656	-69.2085	-87.1553	-105.461	-124.024	-142.829	-161.926	-181.094
20700000	310	862.129	1	0	-16.9802	-34.2301	-51.5654	-69.2084	-87.1552	-105.461	-124.024	-142.829	-161.926	-181.094
20750000	357.803	1069.4	0.866398	0	-16.9802	-34.2301	-51.5654	-69.2083	-87.1552	-105.461	-124.024	-142.829	-161.926	-181.094
20800000	325.179	966.691	0.953321	0	-16.9802	-34.2301	-51.5654	-69.2083	-87.1551	-105.461	-124.024	-142.829	-161.926	-181.094
20850000	341.101	1029.38	0.908821	0	-16.9802	-34.23	-51.5653	-69.2082	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
20900000	325.179	909.242	0.953321	0	-16.9802	-34.23	-51.5653	-69.2082	-87.155	-105.461	-124.024	-142.829	-161.926	-181.093
20950000	325.179	946.026	0.953321	0	-16.9802	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.925	-181.093
21000000	500	1703.92	0.62	0	-16.9802	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.925	-181.093
21050000	500	1704.71	0.62	0	-16.9802	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
21100000	357.803	1098.95	0.866398	0	-16.9802	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
21150000	500	1699.97	0.62	0	-16.9802	-34.2299	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.093
21200000	412.978	1312.75	0.750646	0	-16.9802	-34.2299	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.093
21250000	476.661	1583.46	0.650358	0	-16.9802	-34.2299	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
21300000	375.323	1147.98	0.825956	0	-16.9802	-34.2299	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
21350000	310	894.049	1	0	-16.9802	-34.2299	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.093
21400000	433.199	1387.57	0.715606	0	-16.9802	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
21450000	500	1601.13	0.62	0	-16.9803	-34.23	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
21500000	500	1683.86	0.62	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
21550000	500	1710.61	0.62	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
21600000	476.661	1512.45	0.650358	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
21650000	476.661	1620.26	0.650358	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
21700000	341.101	1022.88	0.908821	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
21750000	325.179	973.049	0.953321	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.094
21800000	412.978	1344.28	0.750646	0	-16.9803	-34.23	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.094
21850000	393.7	1208.49	0.787401	0	-16.9803	-34.23	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.094
21900000	325.179	983.038	0.953321	0	-16.9803	-34.23	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.094
21950000	500	1688.82	0.62	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
22000000	325.179	960.06	0.953321	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
22050000	454.41	1573.82	0.682203	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
22100000	310	894.858	1	0	-16.9803	-34.23	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.094
22150000	310	913.652	1	0	-16.9803	-34.23	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.094
22200000	454.41	1527.09	0.682203	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.094
22250000	393.7	1253.96	0.787401	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.094
22300000	393.7	1238.9	0.787401	0	-16.9803	-34.23	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.094
22350000	357.803	1119.95	0.866398	0	-16.9803	-34.23	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
22400000	357.803	1084.13	0.866398	0	-16.9803	-34.23	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
22450000	325.179	914.523	0.953321	0	-16.9803	-34.23	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
22500000	357.803	1135.42	0.866398	0	-16.9803	-34.23	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
22550000	325.179	936.672	0.953321	0	-16.9803	-34.23	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
22600000	412.978	1229.02	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
22650000	357.803	1092.97	0.866398	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
22700000	454.41	1494.13	0.682203	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
22750000	476.661	1589.83	0.650358	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
22800000	412.978	1344.4	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
22850000	412.978	1268.99	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
22900000	357.803	1091.23	0.866398	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
22950000	357.803	1168.38	0.866398	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
23000000	500	1739.47	0.62	0	-16.9803	-34.23	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
23050000	393.7	1212.4	0.787401	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
23100000	412.978	1329.12	0.750646	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
23150000	476.661	1576.96	0.650358	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
23200000	412.978	1297.1	0.750646	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
23250000	310	901.483	1	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
23300000	310	875.507	1	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
23350000	433.199	1404.02	0.715606	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.093
23400000	357.803	1087.15	0.866398	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
23450000	412.978	1294.23	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
23500000	357.803	1084.41	0.866398	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
23550000	357.803	1123.7	0.866398	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
23600000	341.101	967.018	0.908821	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.094
23650000	325.179	1007.28	0.953321	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.093
23700000	454.41	1600.53	0.682203	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.093
23750000	310	889.984	1	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.093
23800000	325.179	968.213	0.953321	0	-16.9803	-34.23	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.093
23850000	325.179	983.1	0.953321	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.155	-105.461	-124.024	-142.829	-161.926	-181.093
23900000	341.101	979.486	0.908821	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
23950000	375.323	1098.46	0.825956	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24000000	310	868.722	1	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24050000	325.179	929.837	0.953321	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24100000	310	918.691	1	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24150000	325.179	957.581	0.953321	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24200000	375.323	1190.16	0.825956	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24250000	412.978	1349.66	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24300000	500	1745.99	0.62	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24350000	454.41	1519.86	0.682203	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24400000	412.978	1290.87	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24450000	433.199	1461.07	0.715606	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24500000	454.41	1548.92	0.682203	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24550000	454.41	1485.1	0.682203	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24600000	454.41	1458.33	0.682203	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24650000	500	1695.77	0.62	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24700000	393.7	1287.92	0.787401	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24750000	393.7	1225.61	0.787401	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24800000	325.179	972.057	0.953321	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24850000	500	1552.85	0.62	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24900000	341.101	1046.26	0.908821	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
24950000	500	1759.65	0.62	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25000000	325.179	990.377	0.953321	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25050000	357.803	1025.79	0.866398	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25100000	412.978	1336.04	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25150000	310	881.593	1	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25200000	341.101	1011.08	0.908821	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25250000	325.179	981.31	0.953321	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25300000	500	1753.72	0.62	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25350000	412.978	1342.19	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25400000	393.7	1252.48	0.787401	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25450000	393.7	1205.25	0.787401	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25500000	341.101	1046.78	0.908821	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25550000	476.661	1572.81	0.650358	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25600000	375.323	1172.78	0.825956	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25650000	412.978	1324.06	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25700000	310	907.839	1	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25750000	357.803	1121.68	0.866398	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25800000	393.7	1315.94	0.787401	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25850000	454.41	1444.1	0.682203	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25900000	375.323	1169.27	0.825956	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
25950000	412.978	1323.64	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26000000	341.101	1023.31	0.908821	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26050000	412.978	1299.42	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26100000	476.661	1623.17	0.650358	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26150000	393.7	1178.53	0.787401	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26200000	433.199	1398.81	0.715606	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26250000	357.803	1051.4	0.866398	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26300000	375.323	1157.3	0.825956	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26350000	375.323	1174.95	0.825956	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26400000	375.323	1190.75	0.825956	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26450000	433.199	1444.65	0.715606	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26500000	393.7	1215.77	0.787401	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26550000	310	906.374	1	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26600000	433.199	1384.78	0.715606	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26650000	433.199	1432.52	0.715606	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26700000	454.41	1488.31	0.682203	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26750000	476.661	1642.54	0.650358	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26800000	393.7	1180.4	0.787401	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26850000	454.41	1516.16	0.682203	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26900000	375.323	1159.71	0.825956	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
26950000	325.179	997.001	0.953321	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27000000	310	860.538	1	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27050000	325.179	920.061	0.953321	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27100000	341.101	1008.78	0.908821	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27150000	310	922.819	1	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27200000	325.179	964.468	0.953321	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27250000	375.323	1171.77	0.825956	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27300000	325.179	965.5	0.953321	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27350000	357.803	1069.25	0.866398	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27400000	433.199	1364.16	0.715606	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27450000	412.978	1261.74	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27500000	375.323	1141.61	0.825956	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27550000	325.179	936.789	0.953321	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27600000	412.978	1338.56	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27650000	310	893.389	1	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27700000	412.978	1343.44	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27750000	310	872.269	1	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27800000	341.101	1089.36	0.908821	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27850000	341.101	1047.9	0.908821	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27900000	412.978	1311.88	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
27950000	454.41	1444.24	0.682203	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28000000	341.101	1000.34	0.908821	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28050000	341.101	1003.5	0.908821	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28100000	412.978	1336.49	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28150000	341.101	1064.27	0.908821	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28200000	412.978	1281.55	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28250000	412.978	1354.67	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28300000	325.179	986.763	0.953321	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28350000	393.7	1210.79	0.787401	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28400000	476.661	1583.87	0.650358	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28450000	454.41	1517.01	0.682203	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28500000	325.179	950.777	0.953321	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28550000	375.323	1150.13	0.825956	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28600000	476.661	1491.47	0.650358	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28650000	476.661	1554.66	0.650358	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28700000	454.41	1406.14	0.682203	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28750000	310	897.671	1	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28800000	341.101	1040.8	0.908821	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28850000	325.179	984.195	0.953321	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28900000	454.41	1607.73	0.682203	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
28950000	454.41	1439.79	0.682203	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
29000000	393.7	1263.12	0.787401	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
29050000	412.978	1293.72	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
29100000	375.323	1147.21	0.825956	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
29150000	357.803	1144.79	0.866398	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
29200000	357.803	1075.87	0.866398	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
29250000	412.978	1273.38	0.750646	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
29300000	310	911.977	1	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
29350000	310	910.446	1	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
29400000	357.803	1047.63	0.866398	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
29450000	341.101	1022.04	0.908821	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
29500000	310	877.098	1	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
29550000	310	882.246	1	0	-16.9803	-34.2299	-51.5652	-69.2081	-87.1549	-105.461	-124.024	-142.829	-161.926	-181.093
