"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"300K Weight"	"340.866K Weight"	"387.298K Weight"	"440.056K Weight"	"500K Weight"
6400	340.866	52.9184	0.880112	0	1	3	4	5
6450	340.866	53.9738	0.880112	0	1	3	4	5
6500	300	55.1404	1	0	2	4	5	6
6550	300	50.2067	1	0	2	4	5	6
6600	300	60.0448	1	0	2	4	5	6
6650	300	53.3343	1	0	2	4	5	6
6700	300	55.7242	1	0	2	4	5	6
6750	300	57.5097	1	0	2	4	5	6
6800	300	57.0579	1	0	2	4	5	6
6850	300	47.402	1	0	2	4	5	6
6900	300	54.621	1	0	2	4	5	6
6950	300	44.8585	1	0	2	4	5	6
7000	300	55.5483	1	0	3	5	6	7
7050	300	53.8458	1	0	3	5	6	7
7100	300	54.0694	1	0	3	5	6	7
7150	300	50.0272	1	0	3	5	6	7
7200	300	55.6307	1	0	3	5	6	7
7250	300	55.967	1	0	3	5	6	7
7300	300	62.0988	1	0	3	5	6	7
7350	300	55.3574	1	0	3	5	6	7
7400	300	55.6819	1	0	3	5	6	7
7450	300	49.9852	1	0	3	5	6	7
7500	387.298	47.0424	0.774597	0	3	4	6	7
7550	387.298	49.4974	0.774597	0	3	4	6	7
7600	387.298	54.3509	0.774597	0	3	4	6	7
7650	387.298	50.4583	0.774597	0	3	4	6	7
7700	387.298	54.226	0.774597	0	3	4	6	7
7750	387.298	51.7631	0.774597	0	3	4	6	7
7800	387.298	52.4909	0.774597	0	3	4	6	7
7850	387.298	50.2813	0.774597	0	3	4	6	7
7900	387.298	52.0221	0.774597	0	3	4	6	7
7950	387.298	43.9401	0.774597	0	3	4	6	7
8000	500	51.0121	0.6	0	3	4	6	6
8050	500	53.1631	0.6	0	3	4	6	6
8100	500	64.5838	0.6	0	3	4	6	6
8150	500	62.9544	0.6	0	3	4	6	6
8200	500	59.0581	0.6	0	3	4	6	6
8250	500	54.9754	0.6	0	3	4	6	6
8300	500	61.1674	0.6	0	3	4	6	6
8350	500	57.3006	0.6	0	3	4	6	6
8400	500	57.353	0.6	0	3	4	6	6
8450	500	61.5975	0.6	0	3	4	6	6
8500	300	63.5369	1	0	4	5	7	7
8550	300	49.4172	1	0	4	5	7	7
8600	300	65.9284	1	0	4	5	7	7
8650	300	59.1969	1	0	4	5	7	7
8700	300	64.9525	1	0	4	5	7	7
8750	300	70.1623	1	0	4	5	7	7
8800	300	58.784	1	0	4	5	7	7
8850	300	63.2445	1	0	4	5	7	7
8900	300	53.551	1	0	4	5	7	7
8950	300	49.2148	1	0	4	5	7	7
9000	340.866	41.5404	0.880112	0	3	5	7	7
9050	340.866	48.8594	0.880112	0	3	5	7	7
9100	340.866	58.7471	0.880112	0	3	5	7	7
9150	340.866	61.2778	0.880112	0	3	5	7	7
9200	340.866	62.9262	0.880112	0	3	5	7	7
9250	340.866	55.7873	0.880112	0	3	5	7	7
9300	340.866	55.1214	0.880112	0	3	5	7	7
9350	340.866	53.3604	0.880112	0	3	5	7	7
9400	340.866	45.6896	0.880112	0	3	5	7	7
9450	340.866	43.5995	0.880112	0	3	5	7	7
9500	340.866	59.6882	0.880112	0	2	5	7	7
9550	340.866	61.0963	0.880112	0	2	5	7	7
9600	340.866	58.0052	0.880112	0	2	5	7	7
9650	340.866	56.6937	0.880112	0	2	5	7	7
9700	340.866	56.0347	0.880112	0	2	5	7	7
9750	340.866	54.8677	0.880112	0	2	5	7	7
9800	340.866	47.154	0.880112	0	2	5	7	7
9850	340.866	54.0223	0.880112	0	2	5	7	7
9900	340.866	48.9424	0.880112	0	2	5	7	7
9950	340.866	58.0251	0.880112	0	2	5	7	7
10000	300	64.5759	1	0	3	6	8	8
10050	300	58.1729	1	0	3	6	8	8
10100	300	58.3201	1	0	3	6	8	8
10150	300	61.7846	1	0	3	6	8	8
10200	300	63.2135	1	0	3	6	8	8
10250	300	51.4323	1	0	3	6	8	8
10300	300	56.811	1	0	3	6	8	8
10350	300	48.1411	1	0	3	6	8	8
10400	300	48.4338	1	0	3	6	8	8
10450	300	54.2756	1	0	3	6	8	8
10500	500	45.06	0.6	0	3	6	8	7
10550	500	52.1774	0.6	0	3	6	8	7
10600	500	50.8354	0.6	0	3	6	8	7
10650	500	60.6907	0.6	0	3	6	8	7
10700	500	49.2987	0.6	0	3	6	8	7
10750	500	70.7462	0.6	0	3	6	8	7
10800	500	65.8911	0.6	0	3	6	8	7
10850	500	59.4029	0.6	0	3	6	8	7
