"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"298K Weight"	"386.47K Weight"	"501.204K Weight"	"650K Weight"
6150	298	53.8198	1	0	-8	-12	-19
6200	298	45.3063	1	0	-8	-12	-19
6250	298	59.5023	1	0	-6	-10	-17
6300	298	49.0228	1	0	-6	-10	-17
6350	298	45.5934	1	0	-6	-10	-17
6400	298	57.2577	1	0	-6	-10	-17
6450	298	53.3799	1	0	-6	-10	-17
6500	298	59.2586	1	0	-4	-8	-15
6550	298	57.8356	1	0	-4	-8	-15
6600	298	50.3193	1	0	-4	-8	-15
6650	298	46.4707	1	0	-4	-8	-15
6700	298	51.3818	1	0	-4	-8	-15
6750	386.47	62.3818	0.771083	0	-6	-8	-15
6800	386.47	52.5992	0.771083	0	-6	-8	-15
6850	386.47	65.6548	0.771083	0	-6	-8	-15
6900	386.47	59.238	0.771083	0	-6	-8	-15
6950	386.47	53.3009	0.771083	0	-6	-8	-15
7000	501.204	74.8112	0.594569	0	-6	-10	-15
7050	501.204	75.5317	0.594569	0	-6	-10	-15
7100	501.204	91.3953	0.594569	0	-6	-10	-15
7150	501.204	81.8951	0.594569	0	-6	-10	-15
7200	501.204	78.2103	0.594569	0	-6	-10	-15
7250	650	122.688	0.458462	0	-6	-10	-17
7300	650	95.6562	0.458462	0	-6	-10	-17
7350	650	122.086	0.458462	0	-6	-10	-17
7400	650	117.222	0.458462	0	-6	-10	-17
7450	650	123.995	0.458462	0	-6	-10	-17
7500	501.204	92.4616	0.594569	0	-6	-12	-17
7550	501.204	110.366	0.594569	0	-6	-12	-17
7600	501.204	99.2847	0.594569	0	-6	-12	-17
7650	501.204	86.8139	0.594569	0	-6	-12	-17
7700	501.204	114.148	0.594569	0	-6	-12	-17
7750	650	123.156	0.458462	0	-6	-12	-19
7800	650	109.872	0.458462	0	-6	-12	-19
7850	650	123.927	0.458462	0	-6	-12	-19
7900	650	116.985	0.458462	0	-6	-12	-19
7950	650	142.096	0.458462	0	-6	-12	-19
8000	650	182.533	0.458462	0	-6	-12	-21
8050	650	123.451	0.458462	0	-6	-12	-21
8100	650	116.135	0.458462	0	-6	-12	-21
8150	650	128.938	0.458462	0	-6	-12	-21
8200	650	112.922	0.458462	0	-6	-12	-21
8250	501.204	89.6985	0.594569	0	-6	-14	-21
8300	501.204	88.6833	0.594569	0	-6	-14	-21
8350	501.204	84.8592	0.594569	0	-6	-14	-21
8400	501.204	78.3894	0.594569	0	-6	-14	-21
8450	501.204	89.4484	0.594569	0	-6	-14	-21
8500	386.47	72.5899	0.771083	0	-8	-14	-21
8550	386.47	63.9068	0.771083	0	-8	-14	-21
8600	386.47	67.0041	0.771083	0	-8	-14	-21
8650	386.47	57.9108	0.771083	0	-8	-14	-21
8700	386.47	59.9778	0.771083	0	-8	-14	-21
8750	298	45.0622	1	0	-6	-12	-19
8800	298	49.6335	1	0	-6	-12	-19
8850	298	43.6202	1	0	-6	-12	-19
8900	298	45.8022	1	0	-6	-12	-19
8950	298	47.4756	1	0	-6	-12	-19
9000	386.47	57.2356	0.771083	0	-8	-12	-19
9050	386.47	59.1794	0.771083	0	-8	-12	-19
9100	386.47	62.1641	0.771083	0	-8	-12	-19
9150	386.47	64.4148	0.771083	0	-8	-12	-19
9200	386.47	62.2617	0.771083	0	-8	-12	-19
9250	298	47.8091	1	0	-6	-10	-17
9300	298	45.8478	1	0	-6	-10	-17
9350	298	51.9598	1	0	-6	-10	-17
9400	298	39.5839	1	0	-6	-10	-17
9450	298	39.5996	1	0	-6	-10	-17
9500	298	44.5557	1	0	-4	-8	-15
9550	298	50.5344	1	0	-4	-8	-15
9600	298	48.3249	1	0	-4	-8	-15
9650	298	43.1179	1	0	-4	-8	-15
9700	298	45.8636	1	0	-4	-8	-15
9750	386.47	61.9638	0.771083	0	-6	-8	-15
9800	386.47	68.9243	0.771083	0	-6	-8	-15
9850	386.47	80.943	0.771083	0	-6	-8	-15
9900	386.47	88.4119	0.771083	0	-6	-8	-15
9950	386.47	77.7322	0.771083	0	-6	-8	-15
10000	386.47	74.7287	0.771083	0	-8	-8	-15
10050	386.47	67.1118	0.771083	0	-8	-8	-15
10100	386.47	61.6271	0.771083	0	-8	-8	-15
10150	386.47	60.8388	0.771083	0	-8	-8	-15
10200	386.47	77.8274	0.771083	0	-8	-8	-15
10250	501.204	81.5861	0.594569	0	-8	-10	-15
10300	501.204	93.4874	0.594569	0	-8	-10	-15
10350	501.204	100.922	0.594569	0	-8	-10	-15
10400	501.204	90.5855	0.594569	0	-8	-10	-15
10450	501.204	99.5946	0.594569	0	-8	-10	-15
10500	650	140.246	0.458462	0	-8	-10	-17
10550	650	144.309	0.458462	0	-8	-10	-17
